,date_interval,Inbound,Outbound,Shift
0,2017-12-31,12.0,1.0,2.0
1,2018-01-01,17.0,41.0,9.0
2,2018-01-02,29.0,27.0,10.0
3,2018-01-03,34.0,38.0,16.0
4,2018-01-04,30.0,23.0,16.0
5,2018-01-05,27.0,38.0,18.0
6,2018-01-06,31.0,30.0,11.0
7,2018-01-07,35.0,29.0,8.0
8,2018-01-08,23.0,35.0,20.0
9,2018-01-09,31.0,33.0,9.0
10,2018-01-10,30.0,29.0,17.0
11,2018-01-11,35.0,44.0,16.0
12,2018-01-12,29.0,27.0,15.0
13,2018-01-13,29.0,30.0,5.0
14,2018-01-14,32.0,47.0,14.0
15,2018-01-15,38.0,34.0,16.0
16,2018-01-16,21.0,26.0,8.0
17,2018-01-17,24.0,28.0,9.0
18,2018-01-18,26.0,34.0,17.0
19,2018-01-19,33.0,32.0,14.0
20,2018-01-20,24.0,23.0,5.0
21,2018-01-21,10.0,16.0,3.0
22,2018-01-22,33.0,36.0,17.0
23,2018-01-23,31.0,56.0,16.0
24,2018-01-24,39.0,55.0,10.0
25,2018-01-25,47.0,40.0,10.0
26,2018-01-26,42.0,43.0,14.0
27,2018-01-27,24.0,9.0,12.0
28,2018-01-28,38.0,38.0,13.0
29,2018-01-29,28.0,51.0,17.0
30,2018-01-30,39.0,42.0,26.0
31,2018-01-31,31.0,25.0,8.0
32,2018-02-01,31.0,39.0,18.0
33,2018-02-02,47.0,53.0,20.0
34,2018-02-03,42.0,35.0,12.0
35,2018-02-04,46.0,40.0,17.0
36,2018-02-05,25.0,36.0,16.0
37,2018-02-06,10.0,12.0,0.0
38,2018-02-07,50.0,49.0,12.0
39,2018-02-08,40.0,47.0,17.0
40,2018-02-09,28.0,45.0,26.0
41,2018-02-10,12.0,30.0,9.0
42,2018-02-11,44.0,45.0,20.0
43,2018-02-12,38.0,45.0,20.0
44,2018-02-13,37.0,36.0,19.0
45,2018-02-14,20.0,19.0,16.0
46,2018-02-15,34.0,20.0,17.0
47,2018-02-16,40.0,32.0,18.0
48,2018-02-17,20.0,45.0,11.0
49,2018-02-18,23.0,22.0,23.0
50,2018-02-19,32.0,55.0,25.0
51,2018-02-20,30.0,54.0,29.0
52,2018-02-21,33.0,45.0,24.0
53,2018-02-22,49.0,32.0,19.0
54,2018-02-23,33.0,14.0,22.0
55,2018-02-24,30.0,56.0,12.0
56,2018-02-25,34.0,48.0,9.0
